test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
ABCB1	ABCB1	-	chr7:87133178-87461613	undifferentiated	differentiated	OK	44.3031	36.2437	-0.289675	1.28366	0.199262	0.337104	no
ABCB10	ABCB10	-	chr1:229652328-229694442	undifferentiated	differentiated	OK	6.3557	3.20243	-0.988885	2.6244	0.00868019	0.0325317	yes
ABCB11	ABCB11	-	chr2:169779448-169887833	undifferentiated	differentiated	NOTEST	0	0.0334495	1.79769e+308	1.79769e+308	0.112156	1	no
ABCB4	ABCB4	-	chr7:87031360-87105019	undifferentiated	differentiated	OK	4.70591	4.30545	-0.128312	0.371	0.710637	0.814683	no
ABCB5	ABCB5	-	chr7:20655244-20796637	undifferentiated	differentiated	NOTEST	0.0263478	0.0614677	1.22215	-0.425417	0.670532	1	no
ABCB6	ABCB6	-	chr2:220074487-220083712	undifferentiated	differentiated	OK	9.0031	7.25396	-0.311653	0.943869	0.345237	0.500748	no
ABCB7	ABCB7	-	chrX:74273104-74376132	undifferentiated	differentiated	OK	8.41265	5.24372	-0.681971	1.88616	0.0592731	0.138949	no
ABCB8	ABCB8	-	chr7:150725509-150744869	undifferentiated	differentiated	OK	2.8007	2.35098	-0.252527	0.623491	0.532962	0.672436	no
ABCB9	ABCB9	-	chr12:123405497-123451056	undifferentiated	differentiated	NOTEST	0.27344	0.163944	-0.738023	0.443627	0.657312	1	no
ABCC1	ABCC1	-	chr16:16043433-16236930	undifferentiated	differentiated	OK	7.44743	3.2651	-1.18962	3.81254	0.000137544	0.00129745	yes
ABCC10	ABCC10	-	chr6:43395291-43423786	undifferentiated	differentiated	OK	0.934176	1.05504	0.175526	-0.292973	0.769543	0.853862	no
ABCC11	ABCC11	-	chr16:48200821-48269088	undifferentiated	differentiated	NOTEST	0	0.00326762	1.79769e+308	1.79769e+308	0.36459	1	no
ABCC12	ABCC12	-	chr16:48116883-48180681	undifferentiated	differentiated	NOTEST	0	0.00448138	1.79769e+308	1.79769e+308	0.220743	1	no
ABCC13	ABCC13	-	chr21:15646119-15673692	undifferentiated	differentiated	NOTEST	0	0.00774143	1.79769e+308	1.79769e+308	0.301212	1	no
ABCC2	ABCC2	-	chr10:101542462-101611662	undifferentiated	differentiated	NOTEST	0.0514665	0.0315112	-0.707767	0.491155	0.623317	1	no
ABCC3	ABCC3	-	chr17:48712217-48769063	undifferentiated	differentiated	NOTEST	0.114388	0.0979124	-0.224372	0.198326	0.84279	1	no
ABCC4	ABCC4	-	chr13:95672082-95953687	undifferentiated	differentiated	OK	6.08582	2.44153	-1.31766	3.30116	0.000962874	0.00613954	yes
ABCC5	ABCC5	-	chr3:183637723-183735727	undifferentiated	differentiated	OK	5.87385	4.60288	-0.351769	0.771751	0.440262	0.592785	no
ABCC5-AS1	ABCC5-AS1	-	chr3:183637723-183735727	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ABCC6	ABCC6	-	chr16:16243421-16317328	undifferentiated	differentiated	OK	0.450643	0.497366	0.142321	-0.0901789	0.928145	0.9583	no
ABCC6P1	ABCC6P1	-	chr16:18582569-18609607	undifferentiated	differentiated	NOTEST	0.121107	0.0934925	-0.37336	0.275317	0.783073	1	no
ABCC6P2	ABCC6P2	-	chr16:14916288-14918559	undifferentiated	differentiated	NOTEST	0.416279	0.151427	-1.45893	0.862218	0.388568	1	no
ABCC8	ABCC8	-	chr11:17414431-17498449	undifferentiated	differentiated	NOTEST	0.129206	0.171106	0.40522	-0.397224	0.691202	1	no
ABCC9	ABCC9	-	chr12:21950323-22089628	undifferentiated	differentiated	OK	2.18124	6.07715	1.47825	-5.07587	0.000000385719	0.0000105578	yes
ABCD1	ABCD1	-	chrX:152990322-153010216	undifferentiated	differentiated	OK	1.66707	1.09777	-0.602733	1.05952	0.289365	0.440442	no
ABCD2	ABCD2	-	chr12:39945021-40013843	undifferentiated	differentiated	OK	15.3086	4.23731	-1.85312	6.13883	0.000000000831314	0.0000000560481	yes
ABCD3	ABCD3	-	chr1:94883932-94984219	undifferentiated	differentiated	OK	26.487	17.5054	-0.597485	2.31306	0.0207192	0.063284	no
ABCD4	ABCD4	-	chr14:74751979-74769767	undifferentiated	differentiated	OK	7.31651	4.22418	-0.792487	2.07104	0.0383552	0.100067	no
ABCE1	ABCE1	-	chr4:145915726-146050676	undifferentiated	differentiated	OK	56.2268	21.0359	-1.41841	5.2796	0.000000129466	0.00000417748	yes
ABCF1	ABCF1	-	chr6_ssto_hap7:1871447-1891586	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ABCF2	ABCF2	-	chr7:150904922-150924317	undifferentiated	differentiated	OK	52.1938	23.0458	-1.17938	4.45962	0.00000821047	0.000128592	yes
ABCF3	ABCF3	-	chr3:183903862-183911795	undifferentiated	differentiated	OK	10.4765	5.4939	-0.931257	2.69709	0.00699484	0.0275874	yes
ABCG1	ABCG1	-	chr21:43619798-43717354	undifferentiated	differentiated	OK	1.86012	1.75332	-0.0853057	0.14065	0.888146	0.93286	no
ABCG2	ABCG2	-	chr4:89011415-89152474	undifferentiated	differentiated	NOTEST	0	0.0204654	1.79769e+308	1.79769e+308	0.200988	1	no
ABCG4	ABCG4	-	chr11:119019749-119033374	undifferentiated	differentiated	NOTEST	0.0318739	0.142578	2.16131	-0.983111	0.325553	1	no
ABCG5	ABCG5	-	chr2:44039610-44065958	undifferentiated	differentiated	NOTEST	0.0107286	0.0639975	2.57655	-0.939745	0.347348	1	no
ABCG8	ABCG8	-	chr2:44066102-44105605	undifferentiated	differentiated	NOTEST	0	0.0164906	1.79769e+308	1.79769e+308	0.215176	1	no
ABHD1	ABHD1	-	chr2:27346656-27357542	undifferentiated	differentiated	NOTEST	0.533022	0.266721	-0.998863	0.333318	0.738894	1	no
ABHD10	ABHD10	-	chr3:111697827-111712210	undifferentiated	differentiated	OK	27.79	16.1986	-0.778695	2.81832	0.00482753	0.0207454	yes
ABHD11	ABHD11	-	chr7:73150424-73153190	undifferentiated	differentiated	OK	7.58596	7.27756	-0.0598772	0.137729	0.890455	0.934183	no
ABHD11-AS1	ABHD11-AS1	-	chr7:73149398-73150330	undifferentiated	differentiated	OK	0	0.561619	1.79769e+308	1.79769e+308	0.135169	0.25248	no
ABHD12	ABHD12	-	chr20:25228705-25371618	undifferentiated	differentiated	OK	15.9447	10.4053	-0.615757	1.36723	0.171554	0.302035	no
ABHD12B	ABHD12B	-	chr14:51338877-51371688	undifferentiated	differentiated	NOTEST	0	0.0191707	1.79769e+308	1.79769e+308	0.280705	1	no
ABHD13	ABHD13	-	chr13:108870762-108886603	undifferentiated	differentiated	OK	6.66757	3.95008	-0.755279	2.2981	0.0215563	0.0652035	no
ABHD14A	ABHD14A	-	chr3:52009041-52023218	undifferentiated	differentiated	OK	9.93666	5.84473	-0.765625	1.48742	0.136903	0.254679	no
ABHD14A-ACY1	ABHD14A-ACY1	-	chr3:52009041-52023218	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ABHD14B	ABHD14B	-	chr3:52002525-52008646	undifferentiated	differentiated	OK	1.83194	0.953174	-0.942558	1.01671	0.309293	0.462747	no
ABHD15	ABHD15	-	chr17:27887688-27894042	undifferentiated	differentiated	OK	1.27963	1.83917	0.523331	-0.995247	0.319616	0.473218	no
ABHD16A	ABHD16A	-	chr6_ssto_hap7:2985531-3001955	undifferentiated	differentiated	NOTEST	0.0161582	0.039568	1.29207	-0.292009	0.77028	1	no
ABHD16B	ABHD16B	-	chr20:62492565-62494341	undifferentiated	differentiated	OK	1.13195	0.978309	-0.210449	0.246861	0.805016	0.87861	no
ABHD2	ABHD2	-	chr15:89631380-89745591	undifferentiated	differentiated	OK	13.2555	7.75222	-0.773906	2.92086	0.00349064	0.0162129	yes
ABHD3	ABHD3	-	chr18:19230857-19284766	undifferentiated	differentiated	OK	2.75595	2.5265	-0.12541	0.236875	0.812754	0.8836	no
ABHD4	ABHD4	-	chr14:23067146-23081265	undifferentiated	differentiated	OK	0.745063	0.578761	-0.364395	0.47381	0.635635	0.755964	no
ABHD5	ABHD5	-	chr3:43732374-43764217	undifferentiated	differentiated	OK	5.3923	1.85261	-1.54134	4.27124	0.0000194391	0.000266041	yes
ABHD6	ABHD6	-	chr3:58223258-58280461	undifferentiated	differentiated	OK	2.42205	2.85941	0.239488	-0.491865	0.622815	0.74627	no
ABHD8	ABHD8	-	chr19:17402939-17414282	undifferentiated	differentiated	OK	2.12334	2.10708	-0.0110904	0.017917	0.985705	0.991424	no
ABI1	ABI1	-	chr10:26986594-27150016	undifferentiated	differentiated	OK	15.0357	11.955	-0.330778	1.0528	0.292432	0.444003	no
ABI2	ABI2	-	chr2:204193002-204296892	undifferentiated	differentiated	OK	14.7121	10.2764	-0.517677	2.04901	0.0404614	0.104162	no
ABI3	ABI3	-	chr17:47283595-47300587	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ABI3BP	ABI3BP	-	chr3:100468178-100712334	undifferentiated	differentiated	NOTEST	0.095004	0.171038	0.848259	-0.772351	0.439907	1	no
ABL1	ABL1	-	chr9:133589267-133763062	undifferentiated	differentiated	OK	6.5063	3.79013	-0.779589	2.2196	0.0264459	0.0756905	no
ABL2	ABL2	-	chr1:179068461-179198819	undifferentiated	differentiated	OK	3.77596	2.85407	-0.403824	0.851555	0.394461	0.549423	no
ABLIM1	ABLIM1	-	chr10:116190868-116444414	undifferentiated	differentiated	OK	13.5974	2.87641	-2.24099	6.49502	0.0000000000830247	0.00000000790684	yes
ABLIM2	ABLIM2	-	chr4:7967036-8160559	undifferentiated	differentiated	OK	0.936753	0.633278	-0.564831	0.588895	0.555932	0.691339	no
ABLIM3	ABLIM3	-	chr5:148521053-148639999	undifferentiated	differentiated	NOTEST	0.0569131	0.252967	2.15212	-1.7884	0.0737112	1	no
ABO	ABO	-	chr9:136130562-136150630	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ABP1	ABP1	-	chr7:150549572-150558379	undifferentiated	differentiated	NOTEST	0	0.00913112	1.79769e+308	1.79769e+308	0.259466	1	no
ABR	ABR	-	chr17:906757-1090616	undifferentiated	differentiated	OK	14.8023	14.3331	-0.0464704	0.161513	0.871689	0.921908	no
ABRA	ABRA	-	chr8:107771710-107782472	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ABRACL	ABRACL	-	chr6:139349818-139364439	undifferentiated	differentiated	OK	15.9272	11.0027	-0.533632	1.22112	0.22204	0.363169	no
ABT1	ABT1	-	chr6:26597170-26600277	undifferentiated	differentiated	OK	9.78347	5.33146	-0.875816	2.24391	0.0248382	0.0722185	no
ABTB1	ABTB1	-	chr3:127391780-127399769	undifferentiated	differentiated	OK	0.0959305	0.660311	2.78308	-1.74748	0.0805547	0.173835	no
ABTB2	ABTB2	-	chr11:34172533-34379555	undifferentiated	differentiated	OK	0.694824	1.52664	1.13564	-2.10816	0.0350172	0.0935538	no
ACAA1	ACAA1	-	chr3:38080695-38178733	undifferentiated	differentiated	OK	4.89148	3.17275	-0.624538	1.04703	0.295086	0.44692	no
ACAA2	ACAA2	-	chr18:47309873-47340251	undifferentiated	differentiated	OK	31.3158	21.6415	-0.533095	1.94242	0.0520857	0.125914	no
ACACA	ACACA	-	chr17:35441926-35766902	undifferentiated	differentiated	OK	11.0497	7.50904	-0.55731	2.07086	0.0383723	0.100092	no
ACACB	ACACB	-	chr12:109577201-109706030	undifferentiated	differentiated	OK	0.840604	0.73754	-0.188704	0.421492	0.673396	0.785342	no
ACAD10	ACAD10	-	chr12:112123856-112194911	undifferentiated	differentiated	OK	3.97116	2.12506	-0.902058	2.13885	0.0324481	0.0883444	no
ACAD11	ACAD11	-	chr3:132276981-132593050	undifferentiated	differentiated	OK	2.31315	4.31337	0.898956	-1.4714	0.141184	0.260638	no
ACAD8	ACAD8	-	chr11:134123433-134135746	undifferentiated	differentiated	OK	3.85652	2.31678	-0.735177	1.47722	0.139616	0.258525	no
ACAD9	ACAD9	-	chr3:128598332-128631957	undifferentiated	differentiated	OK	16.7552	7.15697	-1.22718	3.73436	0.000188193	0.00166259	yes
ACADL	ACADL	-	chr2:211052715-211090215	undifferentiated	differentiated	NOTEST	0.218309	0.0054295	-5.32941	2.20832	0.0272219	1	no
ACADM	ACADM	-	chr1:76190042-76229355	undifferentiated	differentiated	OK	30.2094	16.3114	-0.889121	3.16266	0.00156332	0.00886899	yes
ACADS	ACADS	-	chr12:121163570-121177811	undifferentiated	differentiated	OK	0.723199	1.15502	0.675458	-0.820521	0.411919	0.566837	no
ACADSB	ACADSB	-	chr10:124768428-124817806	undifferentiated	differentiated	OK	2.71449	1.77362	-0.613985	1.61262	0.106827	0.213254	no
ACADVL	ACADVL	-	chr17:7093209-7128586	undifferentiated	differentiated	OK	19.3724	34.4344	0.829846	-3.04546	0.00232326	0.0118712	yes
ACAN	ACAN	-	chr15:89346673-89418585	undifferentiated	differentiated	NOTEST	0	0.0035554	1.79769e+308	1.79769e+308	0.287551	1	no
ACAP1	ACAP1	-	chr17:7239847-7254793	undifferentiated	differentiated	NOTEST	0.0366418	0.0202385	-0.856388	0.417897	0.676023	1	no
ACAP2	ACAP2	-	chr3:194995464-195163817	undifferentiated	differentiated	OK	9.91188	6.50502	-0.607605	2.26449	0.0235443	0.0694961	no
ACAP3	ACAP3	-	chr1:1227763-1243269	undifferentiated	differentiated	OK	4.9964	4.14333	-0.270096	0.747059	0.455028	0.605973	no
ACAT1	ACAT1	-	chr11:107992257-108018891	undifferentiated	differentiated	OK	40.16	17.1116	-1.23078	4.53348	0.00000580192	0.0000972808	yes
ACAT2	ACAT2	-	chr6:160181290-160210735	undifferentiated	differentiated	OK	50.7812	46.9224	-0.114018	0.265465	0.790651	0.869377	no
ACBD3	ACBD3	-	chr1:226332379-226374423	undifferentiated	differentiated	OK	35.6971	32.394	-0.140083	0.606447	0.544218	0.682203	no
ACBD4	ACBD4	-	chr17:43209966-43221543	undifferentiated	differentiated	OK	0.348745	0.561109	0.686108	-0.46067	0.645036	0.763305	no
ACBD5	ACBD5	-	chr10:27484142-27531068	undifferentiated	differentiated	OK	14.5255	8.54445	-0.765533	2.52026	0.0117268	0.0409877	yes
ACBD6	ACBD6	-	chr1:180257351-180472022	undifferentiated	differentiated	OK	42.7499	35.1091	-0.284075	1.10994	0.267026	0.415273	no
ACBD7	ACBD7	-	chr10:15117473-15130775	undifferentiated	differentiated	OK	2.83832	4.11866	0.537136	-1.3767	0.168604	0.298193	no
ACCS	ACCS	-	chr11:44087728-44105569	undifferentiated	differentiated	NOTEST	0.255045	0.291213	0.191326	-0.170034	0.864983	1	no
ACCSL	ACCSL	-	chr11:44069530-44081527	undifferentiated	differentiated	NOTEST	0.0845921	0	-1.79769e+308	-1.79769e+308	0.164205	1	no
ACD	ACD	-	chr16:67679029-67694718	undifferentiated	differentiated	OK	9.67409	5.73763	-0.753671	1.68984	0.0910581	0.190038	no
ACE	ACE	-	chr17:61554421-61575741	undifferentiated	differentiated	OK	1.16123	0.302438	-1.94094	2.26447	0.0235451	0.0694961	no
ACE2	ACE2	-	chrX:15579155-15620192	undifferentiated	differentiated	NOTEST	0.0343452	0.0398801	0.215558	-0.125594	0.900053	1	no
ACER1	ACER1	-	chr19:6306509-6333640	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ACER2	ACER2	-	chr9:19408924-19452500	undifferentiated	differentiated	OK	0.725722	0.519435	-0.482473	0.604057	0.545806	0.683457	no
ACER3	ACER3	-	chr11:76571916-76734850	undifferentiated	differentiated	OK	3.18942	1.80174	-0.823905	1.98084	0.0476088	0.117534	no
ACHE	ACHE	-	chr7:100487614-100493541	undifferentiated	differentiated	OK	0.470306	3.29252	2.80752	-2.93833	0.00329989	0.0155811	yes
ACIN1	ACIN1	-	chr14:23527773-23569665	undifferentiated	differentiated	OK	26.7898	12.6066	-1.0875	3.20476	0.00135176	0.00795409	yes
ACLY	ACLY	-	chr17:40023178-40075272	undifferentiated	differentiated	OK	104.823	67.4476	-0.63612	3.01634	0.00255843	0.0127921	yes
ACMSD	ACMSD	-	chr2:135596185-135676176	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ACN9	ACN9	-	chr7:96745904-96811075	undifferentiated	differentiated	OK	10.3655	7.6047	-0.446824	1.2634	0.206446	0.345831	no
ACO1	ACO1	-	chr9:32384600-32450832	undifferentiated	differentiated	OK	6.10148	4.42354	-0.463958	1.34784	0.17771	0.309933	no
ACO2	ACO2	-	chr22:41865128-41940479	undifferentiated	differentiated	OK	6.83862	4.7665	-0.520774	1.21928	0.222738	0.363845	no
ACOT1	ACOT1	-	chr14:73945188-74025651	undifferentiated	differentiated	OK	4.95519	2.54716	-0.960051	1.50861	0.1314	0.247575	no
ACOT11	ACOT11	-	chr1:55013806-55100417	undifferentiated	differentiated	OK	0.942366	0.25556	-1.88263	1.49416	0.135133	0.252461	no
ACOT12	ACOT12	-	chr5:80256507-81047072	undifferentiated	differentiated	NOTEST	0	0.0293281	1.79769e+308	1.79769e+308	0.412384	1	no
ACOT13	ACOT13	-	chr6:24667262-24719403	undifferentiated	differentiated	OK	21.926	16.8674	-0.378409	1.35201	0.176372	0.308145	no
ACOT2	ACOT2	-	chr14:74034323-74042362	undifferentiated	differentiated	OK	7.61579	4.17867	-0.865948	1.71287	0.0867363	0.183749	no
ACOT4	ACOT4	-	chr14:74058409-74062470	undifferentiated	differentiated	NOTEST	0.0767186	0.0285722	-1.42496	0.587208	0.557064	1	no
ACOT6	ACOT6	-	chr14:74083547-74086592	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ACOT7	ACOT7	-	chr1:6324331-6453826	undifferentiated	differentiated	OK	22.9807	15.0396	-0.611655	1.76121	0.0782034	0.170039	no
ACOT8	ACOT8	-	chr20:44462469-44486048	undifferentiated	differentiated	OK	5.81036	5.20922	-0.15756	0.269952	0.787197	0.86714	no
ACOT9	ACOT9	-	chrX:23721776-23761407	undifferentiated	differentiated	OK	25.1303	18.4633	-0.444772	1.41235	0.157846	0.28379	no
ACOX1	ACOX1	-	chr17:73937588-74002080	undifferentiated	differentiated	OK	8.69712	7.60035	-0.194472	0.704525	0.481106	0.62892	no
ACOX2	ACOX2	-	chr3:58490862-58522929	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ACOX3	ACOX3	-	chr4:8368008-8442452	undifferentiated	differentiated	OK	2.91011	2.53928	-0.196656	0.382631	0.701994	0.80741	no
ACOXL	ACOXL	-	chr2:111490149-111875799	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ACP1	ACP1	-	chr2:264868-278282	undifferentiated	differentiated	OK	217.208	129.556	-0.745505	2.60741	0.009123	0.0337372	yes
ACP2	ACP2	-	chr11:47260852-47290584	undifferentiated	differentiated	OK	4.2364	3.12697	-0.438076	0.841759	0.399923	0.554859	no
ACP5	ACP5	-	chr19:11685474-11689801	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ACP6	ACP6	-	chr1:147119167-147142634	undifferentiated	differentiated	OK	1.93492	1.41792	-0.448502	0.713125	0.475768	0.625022	no
ACPL2	ACPL2	-	chr3:140950681-141013486	undifferentiated	differentiated	OK	6.80973	4.38032	-0.636562	1.68811	0.0913894	0.190543	no
ACPP	ACPP	-	chr3:132036210-132087146	undifferentiated	differentiated	OK	0.573662	0.0983537	-2.54415	1.21361	0.224898	0.366393	no
ACPT	ACPT	-	chr19:51293671-51298481	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ACR	ACR	-	chr22:51176651-51183727	undifferentiated	differentiated	NOTEST	0	0.0701865	1.79769e+308	1.79769e+308	0.170144	1	no
ACRBP	ACRBP	-	chr12:6747241-6756580	undifferentiated	differentiated	NOTEST	0.109092	0.0958882	-0.186124	0.128121	0.898053	1	no
ACRC	ACRC	-	chrX:70430034-70948962	undifferentiated	differentiated	NOTEST	0.171912	0.0806647	-1.09166	0.112821	0.910172	1	no
ACRV1	ACRV1	-	chr11:125495030-125550793	undifferentiated	differentiated	NOTEST	0.150781	0.0827051	-0.866411	0.115443	0.908094	1	no
ACSBG1	ACSBG1	-	chr15:78463186-78527049	undifferentiated	differentiated	NOTEST	0.0562674	0.0341683	-0.719642	0.346981	0.728606	1	no
ACSBG2	ACSBG2	-	chr19:6135709-6193112	undifferentiated	differentiated	NOTEST	0.0475918	0.0323586	-0.556565	0.284387	0.776113	1	no
